"Time","Holiday","Location","Wifi","Charging State","Profile","Mood","Activity"
"Thu[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[8.00-9.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Gmail"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[9.00-10.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Complete","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[14.00-15.00]","No","Home","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Thu[15.00-16.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Gmail"
"Thu[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[16.00-17.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Fri[0.00-1.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Read News"
"Fri[5.00-6.00]","Yes","Home","ON","Not Connected","Vibration","Sad","Read News"
"Fri[5.00-6.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Fri[6.00-7.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Gmail"
"Fri[6.00-7.00]","Yes","On the way","OFF","Not Connected","Vibration","Sad","Gmail"
"Fri[7.00-8.00]","Yes","On the way","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Fri[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Fri[7.00-8.00]","Yes","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Fri[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Sad","Read News"
"Sun[6.00-7.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[6.00-7.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[7.00-8.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[7.00-8.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[8.00-9.00]","No","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[8.00-9.00]","Yes","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[10.00-11.00]","No","Canteen","OFF","Not Connected","Vibration","Happy","Browsing"
"Sun[10.00-11.00]","No","Canteen","OFF","Not Connected","Vibration","Happy","Browsing"
"Sun[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Sun[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Sun[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[13.00-14.00]","No","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[14.00-15.00]","No","Home","ON","Not Connected","Vibration","Happy","Browsing"
"Tue[0.00-1.00]","No","Home","ON","Not Connected","General","Normal","Games"
"Tue[6.00-7.00]","No","On the way","OFF","Charging","Vibration","Sad","Facebook"
"Tue[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Facebook"
"Tue[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Read News"
"Tue[8.00-9.00]","No","Workplace","OFF","Charging","Vibration","Happy","Read News"
"Tue[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Tue[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Tue[11.00-12.00]","No","Workplace","OFF","Charging","Vibration","Normal","Facebook"
"Tue[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Tue[13.00-14.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Read News"
"Tue[14.00-15.00]","No","On the way","OFF","Not Connected","Vibration","Happy","Whatsapp"
"Tue[14.00-15.00]","No","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Tue[15.00-16.00]","No","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Tue[16.00-17.00]","No","Home","ON","Not Connected","Vibration","Normal","Youtube"
"Tue[17.00-18.00]","No","Home","ON","Not Connected","Vibration","Normal","Youtube"
"Tue[18.00-19.00]","No","Home","ON","Not Connected","Vibration","Sad","Youtube"
"Tue[19.00-20.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Tue[20.00-21.00]","No","Home","ON","Not Connected","Vibration","Normal","Read News"
"Tue[21.00-22.00]","No","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Tue[22.00-23.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Tue[22.00-23.00]","No","Home","ON","Not Connected","Vibration","Happy","Whatsapp"
"Tue[23.00-0.00]","No","Home","ON","Charging","Vibration","Normal","Read News"
"Wed[0.00-1.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Wed[1.00-2.00]","No","Home","OFF","Charging","Vibration","Normal","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[6.00-7.00]","No","Home","ON","Complete","Vibration","Normal","Facebook"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Wed[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Gmail"
"Wed[11.00-12.00]","No","On the way","OFF","Not Connected","Vibration","Happy","Facebook"
"Tue[12.00-13.00]","No","On the way","OFF","Not Connected","Vibration","Normal","LinkedIn"
"Wed[13.00-14.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[16.00-17.00]","No","Canteen","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[17.00-18.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[17.00-18.00]","No","On the way","OFF","Not Connected","Vibration","Normal","LinkedIn"
"Wed[18.00-19.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Wed[19.00-20.00]","No","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Wed[20.00-21.00]","No","Home","ON","Not Connected","Vibration","Normal","Read News"
"Wed[21.00-22.00]","No","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Wed[22.00-23.00]","No","Home","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Read News"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Thu[7.00-8.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Thu[7.00-8.00]","No","Home","ON","Not Connected","Vibration","Normal","Gmail"
"Thu[7.00-8.00]","No","On the way","ON","Not Connected","Vibration","Normal","Read News"
"Thu[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[8.00-9.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Gmail"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[9.00-10.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Complete","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[14.00-15.00]","No","Home","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Thu[15.00-16.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Gmail"
"Thu[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[16.00-17.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Fri[0.00-1.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Read News"
"Fri[5.00-6.00]","Yes","Home","ON","Not Connected","Vibration","Sad","Read News"
"Fri[5.00-6.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Fri[6.00-7.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Gmail"
"Fri[6.00-7.00]","Yes","On the way","OFF","Not Connected","Vibration","Sad","Gmail"
"Fri[7.00-8.00]","Yes","On the way","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Fri[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Fri[7.00-8.00]","Yes","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Fri[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Sat[7.00-8.00]","Yes","Home","ON","Not Connected","Vibration","Sad","Read News"
"Sun[6.00-7.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[6.00-7.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[7.00-8.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[7.00-8.00]","No","Home","ON","Charging","General","Happy","Browsing"
"Sun[8.00-9.00]","No","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[8.00-9.00]","Yes","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[10.00-11.00]","No","Canteen","OFF","Not Connected","Vibration","Happy","Browsing"
"Sun[10.00-11.00]","No","Canteen","OFF","Not Connected","Vibration","Happy","Browsing"
"Sun[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Sun[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Sun[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Sun[13.00-14.00]","No","On the way","OFF","Not Connected","Outdoor","Sad","Read News"
"Sun[14.00-15.00]","No","Home","ON","Not Connected","Vibration","Happy","Browsing"
"Tue[0.00-1.00]","No","Home","ON","Not Connected","General","Normal","Games"
"Tue[6.00-7.00]","No","On the way","OFF","Charging","Vibration","Sad","Facebook"
"Tue[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Facebook"
"Tue[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Read News"
"Tue[8.00-9.00]","No","Workplace","OFF","Charging","Vibration","Happy","Read News"
"Tue[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Tue[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Tue[11.00-12.00]","No","Workplace","OFF","Charging","Vibration","Normal","Facebook"
"Tue[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Tue[13.00-14.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Read News"
"Tue[14.00-15.00]","No","On the way","OFF","Not Connected","Vibration","Happy","Whatsapp"
"Tue[14.00-15.00]","No","Home","ON","Not Connected","Vibration","Happy","Facebook"
"Tue[15.00-16.00]","No","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Tue[16.00-17.00]","No","Home","ON","Not Connected","Vibration","Normal","Youtube"
"Tue[17.00-18.00]","No","Home","ON","Not Connected","Vibration","Normal","Youtube"
"Tue[18.00-19.00]","No","Home","ON","Not Connected","Vibration","Sad","Youtube"
"Tue[19.00-20.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Tue[20.00-21.00]","No","Home","ON","Not Connected","Vibration","Normal","Read News"
"Tue[21.00-22.00]","No","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Tue[22.00-23.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Tue[22.00-23.00]","No","Home","ON","Not Connected","Vibration","Happy","Whatsapp"
"Tue[23.00-0.00]","No","Home","ON","Charging","Vibration","Normal","Read News"
"Wed[0.00-1.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Wed[1.00-2.00]","No","Home","OFF","Charging","Vibration","Normal","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[5.00-6.00]","No","Home","OFF","Charging","Vibration","Sad","Read News"
"Wed[6.00-7.00]","No","Home","ON","Complete","Vibration","Normal","Facebook"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[7.00-8.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Whatsapp"
"Wed[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Wed[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Gmail"
"Wed[11.00-12.00]","No","On the way","OFF","Not Connected","Vibration","Happy","Facebook"
"Tue[12.00-13.00]","No","On the way","OFF","Not Connected","Vibration","Normal","LinkedIn"
"Wed[13.00-14.00]","No","On the way","OFF","Not Connected","Vibration","Sad","Facebook"
"Wed[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[15.00-16.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[16.00-17.00]","No","Canteen","OFF","Not Connected","Vibration","Normal","Facebook"
"Wed[17.00-18.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Wed[17.00-18.00]","No","On the way","OFF","Not Connected","Vibration","Normal","LinkedIn"
"Wed[18.00-19.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Wed[19.00-20.00]","No","Home","OFF","Not Connected","Vibration","Normal","Read News"
"Wed[20.00-21.00]","No","Home","ON","Not Connected","Vibration","Normal","Read News"
"Wed[21.00-22.00]","No","Home","ON","Not Connected","Vibration","Normal","Whatsapp"
"Wed[22.00-23.00]","No","Home","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Read News"
"Thu[6.00-7.00]","No","Home","ON","Charging","Vibration","Normal","Facebook"
"Thu[7.00-8.00]","No","Home","ON","Not Connected","Vibration","Normal","Facebook"
"Thu[7.00-8.00]","No","Home","ON","Not Connected","Vibration","Normal","Gmail"
"Thu[7.00-8.00]","No","On the way","ON","Not Connected","Vibration","Normal","Read News"
"Thu[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[8.00-9.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[8.00-9.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Gmail"
"Thu[9.00-10.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[9.00-10.00]","No","On the way","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[10.00-11.00]","No","Workplace","OFF","Not Connected","Vibration","Sad","Facebook"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[11.00-12.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[12.00-13.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Complete","Vibration","Normal","Gmail"
"Thu[13.00-14.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Whatsapp"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Read News"
"Thu[14.00-15.00]","No","Workplace","OFF","Not Connected","Vibration","Normal","Facebook"
"Thu[14.00-15.00]","No","Home","OFF","Not Connected","Vibration","Sad","Whatsapp"
